Company Name,Company Type,SPCIQ Key,Table Type,HOLDER,COMMON_STOCK_EQUIVALENT_HELD__ACTUAL_,PERCENT_OF_COMMON_SHARES_OUTSTANDING____,MARKET_VALUE___M_,CHANGE_IN_SHARES__ACTUAL_,CHANGE____,POSITION_DATE,SOURCE,PORTFOLIO_TURNOVER_CATEGORY,PORTFOLIO_TURNOVER____,INVESTMENT_ORIENTATION,EQUITY_ASSETS___M_,CITY,STATE,COUNTRY,CALCULATED_INVESTMENT_STYLE,CALCULATED_MARKET_CAP_EMPHASIS,OWNER_TYPE,FUNDS,DERIVATIVES_EX__60_DAYS,INSTITUTION_IS_AN_ACTIVIST_
Galileo Resources Plc,Public,140075966,Shareholders,John Richard Wollenberg Independent Non-Executive,"14,225,511",1.22,0.2,"400,000",2.89,10/28/2024,Exchange Announcement,,,,,,,United Kingdom,,,Individuals/Insiders,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Director,,,,,,,,,,,,,,,,,,,,
Galileo Resources Plc,Public,140075966,Shareholders,First Equity Limited,"10,683,333",0.92,0.1,"10,683,333",,10/1/2024,UK Share Register,,,,,London,,United Kingdom,Unclassified,,Banks/Investment Banks,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Shard Capital Partners LLP,"10,414,697",0.9,0.1,"10,414,697",,10/1/2024,UK Share Register,,,Active,,London,,United Kingdom,Unclassified,,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Jarvis Securities PLC,"10,150,561",0.87,0.1,"-65,131,817",-86.52,10/1/2024,UK Share Register,,,,,Royal Tunbridge Wells,,United Kingdom,Unclassified,,Banks/Investment Banks,,,No
Galileo Resources Plc,Public,140075966,Shareholders,James Brearley & Sons Ltd.,"8,502,354",0.73,0.1,0,,10/1/2024,UK Share Register,,,,,Blackpool,,United Kingdom,Unclassified,,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Fidelity International Ltd.,"7,786,386",0.67,0.1,"-874,028",-10.09,10/1/2024,UK Share Register,Low,32.52,Active,"280,651.92",Pembroke,,Bermuda,Growth,Large Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Quilter Cheviot Ltd.,"7,770,000",0.67,0.1,"250,000",3.32,10/1/2024,UK Share Register,Very Low,11.94,,"16,613.22",London,,United Kingdom,Growth,Large Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,UBS Asset Management AG,"6,680,255",0.57,0.1,0,,10/1/2024,UK Share Register,Very Low,15.6,Active,"1,327,909.35",Zurich,,Switzerland,Growth,Large Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Tiger Royalties and investments PLC,"6,516,667",0.56,0.1,0,,10/1/2024,UK Share Register,,,,0.30,London,,United Kingdom,Blend,Small Cap,VC/PE Firms (<5% stake),,,No
Galileo Resources Plc,Public,140075966,Shareholders,Lloyds Banking Group PLC,"5,430,097",0.47,0.1,0,,10/1/2024,UK Share Register,,,Active,,London,,United Kingdom,Unclassified,,Corporations (Public),,,No
Galileo Resources Plc,Public,140075966,Shareholders,ABN AMRO Bank NV,"4,995,000",0.43,0.1,0,,10/1/2024,UK Share Register,,,,,Amsterdam,,Netherlands,Unclassified,,Banks/Investment Banks,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Cantor Fitzgerald Asset Management,"4,850,000",0.42,0.1,"-1,850,000",-27.61,10/1/2024,UK Share Register,Low,43.98,Active,"5,672.36",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Canaccord Genuity Wealth (International) Ltd.,"2,755,674",0.24,0.0,0,,10/1/2024,UK Share Register,Very Low,12.93,Active,"7,988.59",Saint Helier,,Jersey,Value,Large Cap,Traditional Investment Managers,,,No
Galileo Resources Plc,Public,140075966,Shareholders,Cooperlemon Consultancy Ltd.,"2,500,000",0.21,0.0,0,,10/1/2024,UK Share Register,,,,,Woodlands Lusaka,,Zambia,Unclassified,,Corporations (Private),,,No
Leaveland Pty Ltd.,Private,34902797,No Table Found,,,,,,,,,,,,,,,,,,,,,
Agnico Eagle Mines Limited,Public,248095,Shareholders,BlackRock Inc.,"36,534,546",7.28,"2,857.4",0,,12/31/2023,13G,Very Low,6.47,Passive,"6,009,738.80",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,85.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Van Eck Associates Corp.,"22,322,859",4.45,"1,745.9","778,919",3.62,12/31/2024,13F,Low,27.35,Passive,"93,617.15",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,13.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Vanguard Group Inc.,"19,865,285",3.96,"1,553.7","331,087",1.70,12/31/2024,13F,Very Low,2.83,Passive,"6,637,336.92",Malvern,PA,USA,Growth,Large Cap,Traditional Investment Managers,29.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Fidelity International Ltd.,"18,174,602",3.62,"1,421.4","-984,240",-5.14,12/31/2024,13F,Low,32.52,Active,"222,335.26",Pembroke,,Bermuda,Growth,Large Cap,Traditional Investment Managers,20.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Capital Research and Management Co.,"13,952,061",2.78,"1,091.2","4,121,164",41.92,12/31/2024,13F,Low,21.3,Active,"2,081,805.83",Los Angeles,CA,USA,Growth,Large Cap,Traditional Investment Managers,3.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,FMR LLC,"13,439,454",2.68,"1,051.1","-1,616,977",-10.74,12/31/2024,13F,Low,21.72,Active,"1,631,954.60",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,49.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Massachusetts Financial Services Company,"12,941,836",2.58,"1,012.2","-15,131",-0.12,12/31/2024,13F,Very Low,16.51,Active,"438,183.18",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,15.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Deutsche Asset & Wealth Management,"11,587,897",2.31,906.3,"-17,137",-0.15,12/31/2024,13F,Very Low,17.59,Active,"337,149.87",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,18.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,RBC Global Asset Management Inc.,"11,213,517",2.23,877.0,"1,427,675",14.59,12/31/2024,13F,Low,25.29,Active,"147,161.92",Toronto,ON,Canada,Growth,Large Cap,Traditional Investment Managers,34.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,BMO Asset Management Corp.,"9,928,493",1.98,776.5,"-253,715",-2.49,12/31/2024,13F,Low,23.45,Active,"194,586.57",Chicago,IL,USA,Growth,Large Cap,Traditional Investment Managers,24.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Mackenzie Financial Corp.,"8,658,605",1.73,677.2,"-32,971",-0.38,12/31/2024,13F,Low,23.7,Active,"89,956.66",Toronto,ON,Canada,Growth,Large Cap,Hedge Fund Managers (<5% stake),38.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Norges Bank Investment Management,"7,338,627",1.46,574.0,"668,734",10.03,12/31/2024,13F,,,Active,"1,213,735.64",Oslo,,Norway,Growth,Large Cap,Sovereign Wealth Funds (<5% stake),1.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Arrowstreet Capital Ltd. Partnership,"7,051,473",1.41,551.5,"3,155,927",81.01,12/31/2024,13F,Moderate,68.93,Active,"129,335.84",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,1.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,First Eagle Investment Management LLC,"6,676,455",1.33,522.2,"-270,856",-3.90,12/31/2024,13F,Very Low,9.39,Active,"68,109.44",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,11.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,CIBC Asset Management Inc.,"6,383,024",1.27,499.2,"332,576",5.50,12/31/2024,13F,Low,20.16,Active,"45,623.81",Toronto,ON,Canada,Growth,Large Cap,Traditional Investment Managers,28.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,TD Asset Management Inc.,"6,324,291",1.26,494.6,"174,366",2.84,12/31/2024,13F,Very Low,18.1,Active,"119,576.20",Toronto,ON,Canada,Growth,Large Cap,Traditional Investment Managers,11.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Connor Clark & Lunn Investment Management Ltd.,"6,046,901",1.21,472.9,"154,003",2.61,12/31/2024,13F,Moderate,66.07,Active,"22,988.50",Vancouver,BC,Canada,Growth,Large Cap,Traditional Investment Managers,7.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Managed Account Advisors LLC,"5,979,610",1.19,467.7,"5,979,610",,12/31/2024,13F,Very Low,19.98,Active,"294,806.97",Jersey City,NJ,USA,Growth,Large Cap,Traditional Investment Managers,,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,National Bank Investments Inc.,"4,013,803",0.8,313.9,"-141,546",-3.41,12/31/2024,13F,Moderate,58.41,Active,"75,500.60",Montreal,QC,Canada,Growth,Large Cap,Traditional Investment Managers,1.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Manulife Asset Management,"3,981,993",0.79,311.4,"-69,147",-1.71,12/31/2024,13F,Low,25.26,Active,"123,725.92",Toronto,ON,Canada,Growth,Large Cap,Traditional Investment Managers,10.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Amundi Asset Management SAS,"3,615,474",0.72,282.8,"-74,228",-2.01,12/31/2024,Aggregated 13F,Low,27.88,Passive,"488,332.18",Paris,,France,Growth,Large Cap,Traditional Investment Managers,66.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Canadian Imperial Bank of Commerce,"3,466,408",0.69,271.1,"-363,191",-9.48,12/31/2024,13F,Low,30.08,Active,"45,102.10",Toronto,ON,Canada,GARP,Large Cap,Traditional Investment Managers,,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Invesco Ltd.,"3,050,344",0.61,238.6,"-39,363",-1.27,12/31/2024,13F,Low,28.45,Active,"352,269.23",Atlanta,GA,USA,Growth,Large Cap,Traditional Investment Managers,23.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,JP Morgan Asset Management,"3,022,042",0.6,236.4,"96,798",3.31,12/31/2024,13F,Low,22.52,Active,"878,226.58",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,25.0,,No
Agnico Eagle Mines Limited,Public,248095,Shareholders,Geode Capital Management LLC,"3,006,646",0.6,235.1,"749,932",33.23,12/31/2024,13F,Very Low,2.55,Passive,"1,431,347.67",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,16.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,China Nonferrous Metal Mining (Group) Co. Ltd.,"101,920,000",14.13,496.8,0,,9/30/2024,CNINFO Periodic Filing,,,,,Beijing,,China,Unclassified,,Corporations (Private),,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Meichun Sun,"19,543,846",2.71,95.3,0,,9/30/2024,CNINFO Periodic Filing,,,,,,,China,,,Individuals/Insiders,,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,China Southern Asset Management Co. Ltd.,"13,377,483",1.85,65.2,0,,9/30/2024,CNINFO Periodic Filing,Low,24.55,Active,"6,337.57",,,China,GARP,Mid Cap,Traditional Investment Managers,21.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Orient Fund Management Co. Ltd.,"12,271,672",1.7,59.8,0,,9/30/2024,CNINFO Periodic Filing,Low,39.18,Active,420.18,Beijing,,China,Aggressive Growth,Mid Cap,Traditional Investment Managers,1.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,GF Securities Asset Management Co.Ltd.,"11,131,309",1.54,54.3,0,,9/30/2024,CNINFO Periodic Filing,,,,,Zhuhai,,China,Unclassified,,Traditional Investment Managers,,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Franklin Templeton Sealand Fund Management Co. Ltd.,"9,665,296",1.34,47.1,"432,080",4.68,12/31/2024,Aggregated Mutual Funds,Moderate,52.41,Active,488.56,Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,12.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,UBS SDIC Fund Management Co. Ltd.,"9,623,019",1.33,46.9,0,,9/30/2024,CNINFO Periodic Filing,Low,42.97,Active,590.09,,,China,GARP,Multi Cap,Traditional Investment Managers,9.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,"Pingwei Wang President, CEO & Chairman","8,951,320",1.24,43.6,0,,9/30/2024,CNINFO Periodic Filing,,,,,,,China,,,Individuals/Insiders,,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Shanghai Guotai Junan Securities Asset Management Co. Ltd.,"8,590,332",1.19,41.9,0,,9/30/2024,CNINFO Periodic Filing,Low,47.54,Active,661.53,,,China,Growth,Multi Cap,Traditional Investment Managers,,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,China Merchants Securities Asset Management Co. Ltd.,"7,988,525",1.11,38.9,0,,6/30/2024,CNINFO Periodic Filing,,,,,Shenzhen,,China,Unclassified,,Traditional Investment Managers,,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Haihua Zhong,"7,006,063",0.97,34.2,0,,9/30/2023,CNINFO Periodic Filing,,,,,,,,,,Individuals/Insiders,,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,First State Cinda Fund Management Co. Ltd.,"6,972,296",0.97,34.0,0,,6/30/2023,CNINFO Periodic Filing,Moderate,66.37,Active,869.57,,,China,Growth,Mid Cap,Traditional Investment Managers,4.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,China Universal Asset Management Co. Ltd.,"6,819,359",0.95,33.2,0,,6/30/2024,Aggregated Mutual Funds,Low,30.78,Active,"4,098.75",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,13.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,China Asset Management Co. Ltd.,"6,761,018",0.94,33.0,0,,6/30/2024,Aggregated Mutual Funds,Low,20.04,Passive,"12,673.18",Beijing,,China,GARP,Large Cap,Traditional Investment Managers,17.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Dacheng Fund Management Co. Ltd.,"6,374,089",0.88,31.1,0,,6/30/2024,Aggregated Mutual Funds,Low,33.27,Active,"2,133.20",Shenzhen,,China,GARP,Large Cap,Traditional Investment Managers,13.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,"Truvalue Asset Management Co.,Ltd.","6,275,468",0.87,30.6,0,,9/30/2023,CNINFO Periodic Filing,Moderate,64.32,Active,388.76,Shenzhen,,China,GARP,Large Cap,Traditional Investment Managers,6.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Fullgoal Fund Management Co. Ltd.,"5,284,086",0.73,25.8,0,,6/30/2024,Aggregated Mutual Funds,Low,39.17,Active,"5,077.25",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,10.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Mirae Asset Global Investments Co. Ltd.,"5,103,681",0.71,24.9,"4,450,546",681.41,12/31/2023,Aggregated Mutual Funds,Low,27.08,Passive,"12,791.38",Seoul,,South Korea,Growth,Large Cap,Traditional Investment Managers,7.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Citic Securities Co. Ltd.,"4,918,467",0.68,24.0,0,,9/30/2023,CNINFO Periodic Filing,,,,,Beijing,,China,Unclassified,,Banks/Investment Banks,,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Hwabao WP Fund Management Co. Ltd.,"3,535,188",0.49,17.2,0,,6/30/2024,Aggregated Mutual Funds,Low,25.22,Active,"1,922.79",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,9.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Harvest Fund Management Co. Ltd.,"3,166,645",0.44,15.4,0,,6/30/2024,Aggregated Mutual Funds,Low,21.91,Passive,"6,327.32",Beijing,,China,GARP,Large Cap,Traditional Investment Managers,9.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,Ping An UOB Fund Management Co. Ltd.,"2,339,978",0.32,11.4,0,,6/30/2024,Aggregated Mutual Funds,Moderate,56.05,Active,677.85,,,China,GARP,Large Cap,Traditional Investment Managers,5.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,ICBC Credit Suisse Asset Management Co. Ltd.,"2,290,088",0.32,11.2,0,,6/30/2024,Aggregated Mutual Funds,Low,31.17,Active,"2,589.46",Beijing,,China,GARP,Large Cap,Traditional Investment Managers,5.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,ChangAn Fund Management Co.Ltd,"2,278,920",0.32,11.1,0,,6/30/2024,Aggregated Mutual Funds,Moderate,78.63,Active,72.02,Pudong,,China,Aggressive Growth,Large Cap,Traditional Investment Managers,3.0,,No
"Sinomine Resource Group Co., Ltd. - 中矿资源集团股份有限公司",Public,76947634,Shareholders,JP Morgan Asset Management,"2,169,280",0.3,10.6,-2,0.00,12/31/2024,Aggregated Mutual Funds,Low,22.52,Active,"120,589.14",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,8.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Czech Republic,"375,409,254",69.93,"14,900.9",0,,12/31/2023,Annual Report,,,,,,,Czechia,Unclassified,,State Owned Shares,,,No
"CEZ, a. s.",Public,8350267,Shareholders,Belviport Trading Ltd.,"11,297,785",2.1,448.4,0,,12/31/2023,Annual Report,,,,,Famagusta,,Cyprus,Unclassified,,Corporations (Private),,,No
"CEZ, a. s.",Public,8350267,Shareholders,PPF banka a.s.,"11,243,986",2.09,446.3,0,,12/31/2023,Annual Report,,,,,Prague,,Czechia,Unclassified,,Traditional Investment Managers,,,No
"CEZ, a. s.",Public,8350267,Shareholders,Vanguard Group Inc.,"6,496,088",1.21,257.8,"65,703",1.02,12/31/2024,Aggregated Mutual Funds,Very Low,2.83,Passive,"275,289.37",Malvern,PA,USA,Growth,Large Cap,Traditional Investment Managers,12.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,BlackRock Inc.,"5,860,309",1.09,232.6,"592,482",11.25,12/31/2024,Multiple,Very Low,6.47,Passive,"249,259.19",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,28.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Nationale- Nederlanden Powszechne Towarzystwo Emerytalne S.A.,"1,855,235",0.35,73.6,"1,855,235",,12/31/2024,Aggregated Mutual Funds,Very Low,8.37,Active,635.11,Warsaw,,Poland,GARP,Large Cap,Traditional Investment Managers,1.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Van Eck Associates Corp.,"1,015,071",0.19,40.3,"760,024",297.99,12/31/2024,Aggregated Mutual Funds,Low,27.35,Passive,"3,882.85",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,1.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Geode Capital Management LLC,"933,962",0.17,37.1,"1,976",0.21,12/31/2024,Multiple,Very Low,2.55,Passive,"59,366.40",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,11.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Dimensional Fund Advisors LP,"838,523",0.16,33.3,"5,957",0.72,12/31/2024,Multiple,Very Low,9.68,Active,"24,737.26",Austin,TX,USA,GARP,Large Cap,Traditional Investment Managers,17.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,BNY Asset Management,"782,555",0.15,31.1,496,0.06,12/31/2024,Multiple,Very Low,9.97,Active,"20,977.57",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,6.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Powszechne Towarzystwo Emerytalne,"669,606",0.12,26.6,"669,606",,12/31/2024,Aggregated Mutual Funds,Very Low,8.01,Active,286.20,Warsow,,Poland,GARP,Large Cap,Traditional Investment Managers,1.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,UNIQA Österreich Versicherungen AG,"600,220",0.11,23.8,"600,220",,12/31/2024,Aggregated Mutual Funds,Very Low,4.38,,132.13,Vienna,,Austria,GARP,Multi Cap,Hedge Fund Managers (<5% stake),1.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Generali Powszechne Towarzystwo Emerytalne S A,"569,157",0.11,22.6,"569,157",,12/31/2024,Aggregated Mutual Funds,Very Low,8.32,Active,286.87,Warsaw,,Poland,GARP,Multi Cap,Traditional Investment Managers,1.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Aegon Asset Management UK Plc,"564,594",0.11,22.4,"447,507",382.20,12/31/2024,Aggregated Mutual Funds,Low,23.99,Active,776.95,Edinburgh,,United Kingdom,Growth,Large Cap,Traditional Investment Managers,2.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Goldman Sachs Asset Management LP,"555,035",0.1,22.0,"-57,780",-9.43,12/31/2024,Multiple,Low,23.69,Active,"14,219.71",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,9.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Charles Schwab Investment Management Inc.,"456,525",0.09,18.1,"20,603",4.73,12/31/2024,Aggregated Mutual Funds,Very Low,11.66,Passive,"22,900.84",San Francisco,CA,USA,Growth,Large Cap,Traditional Investment Managers,3.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,State Street Global Advisors Inc.,"446,804",0.08,17.7,"15,396",3.57,12/31/2024,Multiple,Very Low,4.82,Passive,"114,648.15",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,15.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,UBS Asset Management AG,"348,249",0.06,13.8,"21,282",6.51,12/31/2024,Aggregated Mutual Funds,Very Low,15.6,Active,"43,631.92",Zurich,,Switzerland,Growth,Large Cap,Traditional Investment Managers,8.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Caisse de dépôt et placement du Québec,"344,346",0.06,13.7,0,,12/31/2023,Aggregated Mutual Funds,Low,28.47,Active,"3,746.88",Quebec,QC,Canada,Growth,Large Cap,Government Pension Sponsors,1.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,OTP Alapkezelő Zrt.,"330,255",0.06,13.1,0,,6/30/2024,Aggregated Mutual Funds,Low,20.42,Active,50.65,Budapest,,Hungary,GARP,Mid Cap,Traditional Investment Managers,3.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Amundi Asset Management SAS,"324,731",0.06,12.9,"3,155",0.98,12/30/2024,Aggregated Mutual Funds,Low,27.88,Passive,"20,254.01",Paris,,France,Growth,Large Cap,Traditional Investment Managers,7.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Northern Trust Global Investments,"250,814",0.05,10.0,-987,-0.39,12/31/2024,Aggregated Mutual Funds,Very Low,5.67,Active,"28,483.69",,,United Kingdom,Growth,Large Cap,Traditional Investment Managers,6.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Deutsche Asset & Wealth Management,"245,315",0.05,9.7,-500,-0.20,11/29/2024,Aggregated Mutual Funds,Very Low,17.59,Active,"13,983.59",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,7.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Sjunde AP-fonden,"244,411",0.05,9.7,0,,6/28/2024,Aggregated Mutual Funds,Very Low,2.44,Passive,"4,134.70",Stockholm,,Sweden,Growth,Large Cap,Government Pension Sponsors,1.0,,No
"CEZ, a. s.",Public,8350267,Shareholders,Concorde Befektetesi Alapkezeloe Rt,"191,504",0.04,7.6,0,,6/30/2024,Aggregated Mutual Funds,Low,24.31,Active,24.63,Budapest,,Hungary,GARP,Mid Cap,Traditional Investment Managers,3.0,,No
Lithium Argentina AG,Public,43184628,Shareholders,General Motors Co.,"15,002,245",9.26,39.3,0,,12/31/2024,13F,,,,70.18,Detroit,MI,USA,Blend,Small Cap,Corporations (Public),,,No
Lithium Argentina AG,Public,43184628,Shareholders,Mirae Asset Global Investments Co. Ltd.,"4,207,350",2.6,11.0,"1,650,835",64.57,12/31/2024,13F,Low,27.08,Passive,"64,561.49",Seoul,,South Korea,Growth,Large Cap,Traditional Investment Managers,5.0,,No
Lithium Argentina AG,Public,43184628,Shareholders,George Ring Ireland Lead Independent Director,"3,256,186",2.01,8.5,0,,12/4/2024,Exchange Announcement,,,,,,,,,,Individuals/Insiders,,,No
Lithium Argentina AG,Public,43184628,Shareholders,William Blair Investment Management LLC,"3,230,750",2.0,8.5,"58,481",1.84,12/31/2024,13F,Low,28.56,Active,"54,618.22",Chicago,IL,USA,Growth,Large Cap,Traditional Investment Managers,1.0,,No
Lithium Argentina AG,Public,43184628,Shareholders,Centerbook Partners LP,"3,096,302",1.91,8.1,"516,311",20.01,12/31/2024,13F,High,140.12,Active,"1,141.33",Greenwich,CT,USA,Growth,Large Cap,Hedge Fund Managers (<5% stake),,,No
Lithium Argentina AG,Public,43184628,Shareholders,Van Eck Associates Corp.,"2,934,634",1.81,7.7,"-106,731",-3.51,12/31/2024,13F,Low,27.35,Passive,"64,880.35",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,3.0,,No
Lithium Argentina AG,Public,43184628,Shareholders,Hancock Prospecting Pty Ltd.,"2,508,600",1.55,6.6,"2,508,600",,12/31/2024,13F,,,,996.94,West Perth,WA,Australia,Blend,Mid Cap,Corporations (Private),,,No
Lithium Argentina AG,Public,43184628,Shareholders,John Anthony Kanellitsas Executive Chairman,"2,254,705",1.39,5.9,0,,12/4/2024,Exchange Announcement,,,,,,,Canada,,,Individuals/Insiders,,,No
Lithium Argentina AG,Public,43184628,Shareholders,Franco Mignacco Non-Independent Director,"2,140,599",1.32,5.6,0,,12/4/2024,Exchange Announcement,,,,,,,,,,Individuals/Insiders,,,No
Lithium Argentina AG,Public,43184628,Shareholders,RWC Partners Ltd.,"2,070,602",1.28,5.4,0,,12/31/2024,13F,Low,32.21,Active,"5,517.03",London,,United Kingdom,GARP,Large Cap,Traditional Investment Managers,,,No
Lithium Argentina AG,Public,43184628,Shareholders,Konwave AG (Gold 2000),"1,799,841",1.11,4.7,0,,9/30/2024,Aggregated Mutual Funds,Low,37.23,Active,801.26,Herisau,,Switzerland,Growth,Small Cap,Traditional Investment Managers,1.0,,No
Lithium Argentina AG,Public,43184628,Shareholders,Invesco Capital Management LLC,"1,660,792",1.03,4.4,"-185,753",-10.06,12/31/2024,13F,Low,21.82,Passive,"190,706.53",Downers Grove,IL,USA,Growth,Large Cap,Traditional Investment Managers,2.0,,No
