Company Name,Company Type,SPCIQ Key,Table Type,HOLDER,COMMON_STOCK_EQUIVALENT_HELD__ACTUAL_,PERCENT_OF_COMMON_SHARES_OUTSTANDING____,MARKET_VALUE___M_,CHANGE_IN_SHARES__ACTUAL_,CHANGE____,POSITION_DATE,SOURCE,PORTFOLIO_TURNOVER_CATEGORY,PORTFOLIO_TURNOVER____,INVESTMENT_ORIENTATION,EQUITY_ASSETS___M_,CITY,STATE,COUNTRY,CALCULATED_INVESTMENT_STYLE,CALCULATED_MARKET_CAP_EMPHASIS,OWNER_TYPE,FUNDS,DERIVATIVES_EX__60_DAYS,INSTITUTION_IS_AN_ACTIVIST_
UBS Group AG,Public,416620,Shareholders,JPMorgan Chase & Co.,"13,555,216",0.43,416.8,"-13,040,999",-49.03,12/31/2024,13F,Low,34.53,Active,"374,696.12",New York,NY,USA,Growth,Large Cap,Banks/Investment Banks,,,No
UBS Group AG,Public,416620,Shareholders,Wellington Management Group LLP,"12,921,485",0.41,397.4,"-787,138",-5.74,12/31/2024,13F,Low,28.26,Active,"675,506.12",Boston,MA,USA,Growth,Large Cap,Traditional Investment Managers,12.0,,No
UBS Group AG,Public,416620,Shareholders,JP Morgan Asset Management,"12,908,894",0.41,397.0,"-11,566,521",-47.26,12/31/2024,13F,Low,22.52,Active,"976,642.88",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,51.0,,No
UBS Group AG,Public,416620,Shareholders,Teachers Insurance and Annuity Association- College Retirement Equities Fund,"12,433,241",0.39,382.3,"1,900,791",18.05,12/31/2024,Multiple,Very Low,15.55,Active,"399,856.49",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,3.0,,No
Actium Asset Management Pty Ltd,Private,587083844,No Table Found,,,,,,,,,,,,,,,,,,,,,
Suomen Malmijalostus Oy,Private,586770531,No Table Found,,,,,,,,,,,,,,,,,,,,,
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,GF Fund Management Co. Ltd.,"16,466,423",12.97,"1,131.6",0,,6/30/2024,Aggregated Mutual Funds,Low,30.51,Passive,"45,902.25",Guangzhou,,China,Growth,Large Cap,Traditional Investment Managers,3.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,First Eagle Investment Management LLC,"10,495,498",8.26,721.3,"-42,784",-0.41,10/31/2024,Multiple,Very Low,9.39,Active,"70,873.51",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,7.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Artisan Partners LP,"9,677,200",7.62,665.0,0,,5/2/2024,Exchange Announcement,Low,30.79,Active,"130,344.73",Milwaukee,WI,USA,Growth,Large Cap,Traditional Investment Managers,3.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Sagerpar Société Anonyme,"4,836,721",3.81,332.4,0,,12/31/2023,Annual Report,,,,,Brussels,,Belgium,Unclassified,,Corporations (Private),,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Norges Bank Investment Management,"4,566,877",3.6,313.9,0,,6/30/2024,Aggregated Mutual Funds,,,Active,"1,262,992.34",Oslo,,Norway,Growth,Large Cap,Sovereign Wealth Funds (<5% stake),1.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,BlackRock Inc.,"3,476,467",2.74,238.9,"-40,953",-1.16,12/31/2024,Multiple,Very Low,6.47,Passive,"6,253,630.39",New York,NY,USA,Growth,Large Cap,Traditional Investment Managers,104.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Vanguard Group Inc.,"3,420,186",2.69,235.0,"27,313",0.81,12/31/2024,Multiple,Very Low,2.83,Passive,"6,906,698.15",Malvern,PA,USA,Growth,Large Cap,Traditional Investment Managers,36.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Dacheng Fund Management Co. Ltd.,"2,118,800",1.67,145.6,0,,6/30/2024,Aggregated Mutual Funds,Low,33.27,Active,"16,166.13",Shenzhen,,China,GARP,Large Cap,Traditional Investment Managers,1.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,China Universal Asset Management Co. Ltd.,"1,693,200",1.33,116.4,0,,6/30/2024,Aggregated Mutual Funds,Low,30.78,Active,"31,061.82",Shanghai,,China,GARP,Large Cap,Traditional Investment Managers,3.0,,No
Groupe Bruxelles Lambert SA,Public,874182,Shareholders,Finpar Viii SRL,"1,200,421",0.95,82.5,0,,12/31/2023,Annual Report,,,,,Brussels,,Belgium,Unclassified,,Corporations (Private),,,No
