Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes
Albemarle Corporation,18671,Public,USA,No,Albemarle Corporation,Strelley,"Alcazar, Bastion, Berghaus, Big Hill, Conwy, E45/4638, E45/4801, E45/5743, Gibraltar, North Shear, Palisade, Stockade, Tabba Tabba",83221,,100.0,100,Albemarle Corp.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Tantalum, Tin, Caesium, Gold",Lithium,,,,,Project,"-20.429270,119.053430",Exact,,,,,
Albemarle Corporation,18671,Public,USA,No,Albemarle Corporation,Greenbushes,"Balingup, Blackwood, Bridgetown, Brockman, Brockman Highway, Donnybrook, DSZ, E70/4763, E70/4774, E70/4845, E70/4846, East Kirup, Kirup, Nannup, Thomas A, Wilga",87764,,100.0,100,Albemarle Corp.,Australia,1.4 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"-33.998600,116.078780",Exact,,,,,
Aldoro Resources Limited,563759092,Public,Australia,No,Aldoro Resources Limited,Wyemandoo,"Dome 1, Dome 2, E57/1017, E58/555, E58/571, E59/2431, Fairway Corridor",88966,,100.0,100,Aldoro Resources Ltd.,Australia,1.4 Moderate,Target Outline,Active,"Lithium, Rubidium, Tungsten, Nickel, Copper",Lithium,,,,,Project,"-28.481780,118.585330",Exact,,,,,
Alpha Lithium Corporation,217740877,Private,Canada,Yes,Grupo Techint SA de CV,Salar de Tolillar,"Area 1, Horacio, Horacio I, Horacio II, Nueva Agua 40, Nueva Palo, Remsa, Salar, Tolillar, Tolillar Salar",84909,,99.98,100,Alpha Lithium Corp.,Argentina,2.7 High,Prefeas/Scoping,Active,"Lithium, Potash",Lithium,2028000.0,tonnes,32869.8,7/17/23,Brine,"-25.036720,-67.124110",Exact,,,2027,2062,
Alpha Lithium Corporation,217740877,Private,Canada,Yes,Grupo Techint SA de CV,Hombre Muerto,"Alejo, Fabricio 7, Fabricio 8, Gran Victoria, HM, Hombre Muerto Salar, Salar del Hombre Muerto, Santo Tomas",90185,,100.0,100,Alpha Lithium Corp.,Argentina,2.7 High,Target Outline,Active,Lithium,Lithium,,,,,Project,"-25.191520,-67.038840",Exact,,,,,
American Lithium Corp.,3169954,Public,Canada,No,American Lithium Corp.,Macusani Plateau,"Amariza, Calvario, Calvario Chico East, Calvario Real, Central Area, Chaccaconiza, Chilcuno, Chilcuno Chico, Clark-Dykes, Colibri, Colibri 2, Colibri 3, Colibri II, Colibri III, Corachapi, Corani, Corani-Macusani, Crucero, Falchani, Falchani - Ocacasa 4, Falchani East, Falchani East Extension, Falchani West, Huarituna, Isivilla, Kihitian, Lagunillas, Lincoln, Macusani, Minergia, Munani, New Corani, Nueva Corani, Ocacasa 4, Pinocho, Puncopata, Q26-TV Quelcaya, Quebrada Blanca, Quelcaya, Sapanuta 3, SE Area, Tantamaco, Tres Hermanas, Triunfador, Tupramani, Tupuramani, Tuturumani",36002,,99.5,99.5,American Lithium Corp.,Peru,2.2 Elevated,Prefeas/Scoping,Active,"U308, Lithium, Potash, Caesium, Rubidium",U3O8,4030000.0,tonnes,76607.0,10/31/2023,"Open Pit, Underground","-13.943850,-70.537070",Exact,,,2028,2071,
American Rare Earths Limited,114590757,Public,Australia,No,American Rare Earths Limited,Split Rocks,"British Hills East, Casey, Cielo, DFN, DFN West, DHLGO, Dulcie, Dulcie Far North, Dulcie Laterite Pit, Dulcie North, Dulcie West, E77/2375, E77/2386, E77/2388, E77/2616, EL77/2615, Estrela, Estrella, Firebreak North, Firebreak South, M77/1292, Mawson, ML 77/1292, ML77/1292, Parker South, Pointer 7, Rio, Rio SE, Scott’s Grey, Scotts Grey, Water Bore, Wrathchild, Zenith Dulcie",79614,,,0,Zenith Minerals Ltd.,Australia,1.4 Moderate,Reserves Development,Active,"Lithium, Gold, Cobalt, Nickel, Scandium, Iron Ore, Niobium, Tin, Tantalum, Caesium",Lithium,85680.0,tonnes,2013.7,08/03/2023,"Open Pit, Underground","-31.765660, 119.586810",Exact,,,,,
American Salars Lithium Inc.,1679702177,Public,USA,No,American Salars Lithium Inc.,Incahuasi Salar,Candela II,87696,,100.0,100,American Salars Lithium Inc.,Argentina,2.7 High,Reserves Development,Active,"Lithium, Magnesium, Borates",Lithium,185000.0,tonnes,2998.5,9/18/23,Brine,"-24.321720,-67.608600",Exact,,,,,
American Salars Lithium Inc.,1679702177,Public,USA,No,American Salars Lithium Inc.,Pocitos 1,"Pocitos, Pocitos 2, Pocitos I, Pocitos II, Pocitos One, Pocitos Salar",88782,,,0,Recharge Resources Ltd.,Argentina,2.7 High,Reserves Development,Active,"Lithium, Magnesium, Borates",Lithium,308000.0,tonnes,4992.1,12/18/2023,Brine,"-24.478540,-67.020770",Exact,,,,,
Antler Gold Inc.,376692618,Public,Canada,No,Antler Gold Inc.,Crescent Lake,"Chappais Lake, Dempster 61, Dempster L28, Dempster L40, Dempster L61, L61 East, L61 West",77809,,100.0,100,Antler Gold Inc.,Canada,1.4 Moderate,Target Outline,Active,"Lithium, Caesium, Tantalum",Lithium,,,,,Project,"50.454140,-88.352330",Exact,,,,,
