Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Activity Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes,lat,lon,COUNTY,STATE,ST_ABBR,FIPS,RPL_THEMES,EP_AIAN,SVI_Category,FIPS_5,DRGT_EALT,DRGT_EALR,DRGT_RISKV,DRGT_RISKR,DRGT_RISKS,DRGT_MID_LOWER_HM,DRGT_MID_LOWER_PRISKS,DRGT_MID_LOWER_PRISKR,DRGT_MID_LOWER_PALR,DRGT_MID_LOWER_DELTAR,DRGT_MID_HIGHER_HM,DRGT_MID_HIGHER_PRISKS,DRGT_MID_HIGHER_PRISKR,DRGT_MID_HIGHER_PALR,DRGT_MID_HIGHER_DELTAR,DRGT_LATE_LOWER_HM,DRGT_LATE_LOWER_PRISKS,DRGT_LATE_LOWER_PRISKR,DRGT_LATE_LOWER_PALR,DRGT_LATE_LOWER_DELTAR,DRGT_LATE_HIGHER_HM,DRGT_LATE_HIGHER_PRISKS,DRGT_LATE_HIGHER_PRISKR,DRGT_LATE_HIGHER_PALR,DRGT_LATE_HIGHER_DELTAR
Fuse Battery Metals Inc.,3188741,Public,Canada,No,Fuse Battery Metals Inc.,Black Rock Desert,,78357,,100.0,100.0,Fuse Battery Metals Inc.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Brine,"40.676000,-119.331000",Approximate,,,,,,40.676,-119.331,Washoe County,Nevada,NV,32031,0.6971,1.0,High,32031,1316457.008,Relatively Moderate (292K - 2.74M),1517619.098,Relatively Moderate,96.40470888,2.577789623,96.88,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.015771603,96.69,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),2.868746377,96.02,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.926942984,95.86,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Austroid Corporation,710587376,Private,USA,No,Austroid Corporation,Nevada,"Fraction, Heller, Lone Mountain, NLP, San Antone, San Antone East, San Antone North, San Antone West, San Antonne East, Traction, Western Flats",89591,,80.0,80.0,Austroid Corp,USA,1.5 Moderate,Reserves Development,Active,Lithium,Lithium,,,,,Project,"38.121230,-117.426310",Exact,,,,,,38.12123,-117.42631,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
GeoXplor Corp.,84930599,Private,Canada,No,GeoXplor Corp.,Clayton Valley,"CC, CCP, SX",88380,,,0.0,GeoXplor Corp.,USA,1.5 Moderate,Reserves Development,Active,Lithium,Lithium,122368.0,tonnes,1983.3,03/13/2024,Project,"37.807560,-117.588130",Exact,,,,,,37.80756,-117.58813,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
GeoXplor Corp.,84930599,Private,Canada,No,GeoXplor Corp.,Clayton Valley,"Blue Clay, Clayton Valley Deep Basin, Silver Peak South",77650,,0.0,0.0,GeoXplor Corp.,USA,1.5 Moderate,Target Outline,Active,"Lithium, Gold",Lithium,,,,,Brine,"37.630170,-117.519000",Exact,,,,,,37.63017,-117.519,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Global Battery Metals Ltd.,27921070,Public,Canada,No,Global Battery Metals Ltd.,Lithium King,,89207,,100.0,100.0,Global Battery Metals Ltd.,USA,1.5 Moderate,Target Outline,Active,"Lithium, Magnesium. ",Lithium,,,,,Project,"40.747510,-112.814680",Exact,,,,,,40.74751,-112.81468,Tooele County,Utah,UT,49045,0.1766,0.3,Low,49045,3806.038652,Very Low (<21.9K),3763.025583,Very Low,29.9395482,2.064822335,32.13,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),2.909842655,34.52,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.168731927,34.17,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),4.904160092,29.91,Very Low,Very Low (<21.9K),Very High (>4.58x)
Gold Exploration Management Inc.,404010623,Private,Canada,No,Gold Exploration Management Inc.,Columbus Marsh,,79206,,0.0,0.0,Mantle Minerals Ltd.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"38.095000,-117.983300",Exact,,,,,,38.095,-117.9833,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Great Basin Resources Inc.,567507842,Private,Canada,No,Great Basin Resources Inc.,Salt Wells,"Salt Wells North, Salt Wells South",81824,,,0.0,5E Advanced Materials Inc.,USA,1.5 Moderate,Target Outline,Active,"Lithium, Borates",Lithium,,,,,Project,"39.277470,-118.455530",Exact,,,,,,39.27747,-118.45553,Churchill County,Nevada,NV,32001,0.6271,3.4,High,32001,6915172.454,Relatively High (2.74M - 25.1M),8729379.457,Relatively High,98.98186446,2.193340716,98.89,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),2.844604566,98.95,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),2.980066864,98.98,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.170773893,98.82,Very High,Very High (>25.1M),Very High (>4.58x)
Grid Battery Metals Inc.,224265046,Public,Canada,No,Grid Battery Metals Inc.,New San Emidio,San Emidio,77322,,100.0,100.0,Grid Battery Metals Inc.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"40.399900,-119.439200",Exact,,,,,,40.3999,-119.4392,Washoe County,Nevada,NV,32031,0.6971,1.0,High,32031,1316457.008,Relatively Moderate (292K - 2.74M),1517619.098,Relatively Moderate,96.40470888,2.577789623,96.88,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.015771603,96.69,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),2.868746377,96.02,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.926942984,95.86,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Grid Battery Metals Inc.,224265046,Public,Canada,No,Grid Battery Metals Inc.,Clayton Valley-1,"BFF-1, Clayton Valley, Clayton Valley BFF-1, CV, Silver Peak",77627,,100.0,100.0,Grid Battery Metals Inc.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"37.783700,-117.624610",Exact,,,,,,37.7837,-117.62461,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Grid Battery Metals Inc.,224265046,Public,Canada,No,Grid Battery Metals Inc.,Dixie Valley,,78104,,100.0,100.0,Grid Battery Metals Inc.,USA,1.5 Moderate,Grassroots,Active,Lithium,Lithium,,,,,Project,"39.812340,-117.944930",Exact,,,,,,39.81234,-117.94493,Churchill County,Nevada,NV,32001,0.6271,3.4,High,32001,6915172.454,Relatively High (2.74M - 25.1M),8729379.457,Relatively High,98.98186446,2.193340716,98.89,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),2.844604566,98.95,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),2.980066864,98.98,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.170773893,98.82,Very High,Very High (>25.1M),Very High (>4.58x)
