Company Name,Company ID,Company Type,Origin,Is Subsidiary,Parent,Property Name,Also Known As,Property ID,Royalty,Equity,Controlling Ownership,Operator,Country/ Region,Country/Region Risk Score & Outlook,Development Stage,Activity Status,Commodity(s),Primary Commodity,Primary Reserves and Resources,Unit,Total In-Situ Value ($M),Reserves & Resources As Of Date,Project Type,Coordinates,Coordinate Accuracy,Map Link,Construction Start,Production Start,Closure ,Sources/Notes,lat,lon,COUNTY,STATE,ST_ABBR,FIPS,RPL_THEMES,EP_AIAN,SVI_Category,FIPS_5,DRGT_EALT,DRGT_EALR,DRGT_RISKV,DRGT_RISKR,DRGT_RISKS,DRGT_MID_LOWER_HM,DRGT_MID_LOWER_PRISKS,DRGT_MID_LOWER_PRISKR,DRGT_MID_LOWER_PALR,DRGT_MID_LOWER_DELTAR,DRGT_MID_HIGHER_HM,DRGT_MID_HIGHER_PRISKS,DRGT_MID_HIGHER_PRISKR,DRGT_MID_HIGHER_PALR,DRGT_MID_HIGHER_DELTAR,DRGT_LATE_LOWER_HM,DRGT_LATE_LOWER_PRISKS,DRGT_LATE_LOWER_PRISKR,DRGT_LATE_LOWER_PALR,DRGT_LATE_LOWER_DELTAR,DRGT_LATE_HIGHER_HM,DRGT_LATE_HIGHER_PRISKS,DRGT_LATE_HIGHER_PRISKR,DRGT_LATE_HIGHER_PALR,DRGT_LATE_HIGHER_DELTAR
Grid Battery Metals Inc.,224265046,Public,Canada,No,Grid Battery Metals Inc.,Black Rock Desert,,78357,,,0.0,Fuse Battery Metals Inc.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Brine,"40.676000,-119.331000",Approximate,,,,,,40.676,-119.331,Washoe County,Nevada,NV,32031,0.6971,1.0,High,32031,1316457.008,Relatively Moderate (292K - 2.74M),1517619.098,Relatively Moderate,96.40470888,2.577789623,96.88,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.015771603,96.69,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),2.868746377,96.02,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.926942984,95.86,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Grid Battery Metals Inc.,224265046,Public,Canada,No,Grid Battery Metals Inc.,Texas Spring,,91571,,100.0,100.0,Grid Battery Metals Inc.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"41.643750,-114.527420",Exact,,,,,,41.64375,-114.52742,Elko County,Nevada,NV,32007,0.6185,4.3,High,32007,490722.403,Relatively Moderate (292K - 2.74M),737206.9845,Relatively Moderate,90.99586382,2.029566,90.55,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Moderate (1.85x - 2.8x),2.384389661,91.76,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Moderate (1.85x - 2.8x),2.429248121,89.41,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Moderate (1.85x - 2.8x),4.295039216,87.05,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively High (2.8x - 4.58x)
INEO Tech Corp.,637759273,Public,Canada,Yes,Coenda Investment Holdings Corp.,South Big Smokey Valley,"Big Smoky, Big Smoky Valley, South Big Smoky Valley",60416,,,0.0,Ultra Lithium Inc.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Brine,"37.980000,-117.720000",Exact,,,,,,37.98,-117.72,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Iconic Minerals Ltd.,3221979,Public,Canada,Yes,Corporate & Resource Consultants Pty. Ltd.,Grass Valley,,91264,,100.0,100.0,Iconic Minerals Ltd.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"39.907930,-116.655650",Approximate,,,,,,39.90793,-116.65565,Lander County,Nevada,NV,32015,0.5762,3.0,High,32015,3454171.415,Relatively High (2.74M - 25.1M),5285334.019,Relatively High,98.72733058,2.03846575,98.47,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),2.7066121,98.6,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),2.781753045,98.5,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),4.8217144,98.35,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Jindalee Lithium Limited,7652889,Public,Australia,No,Jindalee Lithium Limited,McDermitt,,59768,,100.0,100.0,Jindalee Lithium Ltd.,USA,1.5 Moderate,Prefeas/Scoping,Active,"Lithium, U3O8",Lithium,8686000.0,tonnes,140782.7,2/27/23,Open Pit,"42.041620,-118.059240",Exact,,,2033.0,,,42.04162,-118.05924,Malheur County,Oregon,OR,41045,0.9908,0.9,Very High,41045,99007.43703,Relatively Low (21.9K - 292K),141797.0505,Relatively Low,70.85587019,2.191463425,74.61,Relatively Low,Relatively Low (21.9K - 292K),Relatively Moderate (1.85x - 2.8x),2.547266575,74.77,Relatively Moderate,Relatively Low (21.9K - 292K),Relatively Moderate (1.85x - 2.8x),2.545393307,72.99,Relatively Moderate,Relatively Low (21.9K - 292K),Relatively Moderate (1.85x - 2.8x),4.654258935,68.72,Relatively Moderate,Relatively Moderate (292K - 2.74M),Very High (>4.58x)
Lithium Americas Corp.,1814365001,Public,Canada,No,Lithium Americas Corp.,Lithium Nevada,"Beta, BPE, Kings Valley, Lith, Neutron, North, North Central, PCD, South Central and South, Stage 1 Lens, Stage 2 Lens, Thacker Pass, Zone 1",36750,,100.0,100.0,Lithium Americas Corp.,USA,1.5 Moderate,Construction Started,Active,"Lithium, Potash",Lithium,7700000.0,tonnes,124801.6,11/2/22,Open Pit,"41.708830,-118.069780",Exact,https://eplanning.blm.gov/public_projects/1503166/200352542/20023444/250029648/08%20-%20MINE%20PIT%20PLAN%20AND%20CROSS%20SECTION_508.pdf,2023.0,2027.0,2066.0,,41.70883,-118.06978,Humboldt County,Nevada,NV,32013,0.616,3.1,High,32013,9157242.42,Relatively High (2.74M - 25.1M),12445357.76,Relatively High,99.33184855,2.245780521,99.14,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),2.835432397,99.24,Very High,Very High (>25.1M),Relatively High (2.8x - 4.58x),2.70404119,99.17,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),5.068972027,99.14,Very High,Very High (>25.1M),Very High (>4.58x)
Lithium Corporation,39636596,Private,USA,No,Lithium Corporation,Fish Lake Valley,"Fish Lake, Fish South, FLV, Gap-Lode, North Bowl Playa, North Playa, Playa, Rhyolite Ridge, South Bowl Playa",37797,,40.0,40.0,Morella Corp.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Brine,"37.913750,-117.926120",Exact,,,,,,37.91375,-117.92612,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Lithium Corporation,39636596,Private,USA,No,Lithium Corporation,North Big Smoky,"Austin, Big North Smoky, Carvers, Cavers, NBS, NBS Carvers, North Big Smokey, North Big Smoky Carvers",90623,,,0.0,Morella Corp.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"39.083100,-117.068170",Exact,,,,,,39.0831,-117.06817,Nye County,Nevada,NV,32023,0.7954,1.0,Very High,32023,4149.252472,Very Low (<21.9K),3898.984843,Very Low,30.48043271,2.207770352,33.28,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.045589737,35.22,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.332210658,35.13,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),5.455757612,31.15,Very Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
Lone Mountain Resources LLC,694710116,Private,USA,No,Lone Mountain Resources LLC,Alkali Lake,"Alkali Flats, Alkali Spring Valley, Eastern Block, Walker Lane",37516,,75.0,75.0,Lone Mountain Resources LLC,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Brine,"37.868470,-117.393260",Exact,,,,,,37.86847,-117.39326,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Loyal Lithium Limited,711652447,Public,Australia,No,Loyal Lithium Limited,Scotty,"O'Keefe, Sarcobatus Flats, Scottys South, Scotty's South",78905,,100.0,100.0,Loyal Lithium Ltd.,USA,1.5 Moderate,Target Outline,Active,"Lithium, Borates",Lithium,,,,,Project,"37.198050,-117.062000",Exact,,,,,,37.19805,-117.062,Nye County,Nevada,NV,32023,0.7954,1.0,Very High,32023,4149.252472,Very Low (<21.9K),3898.984843,Very Low,30.48043271,2.207770352,33.28,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.045589737,35.22,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.332210658,35.13,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),5.455757612,31.15,Very Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
M3 Metals Corp.,36565736,Public,Canada,No,M3 Metals Corp.,Nevada North,"NNLP, Texas Springs, UCH",89588,,100.0,100.0,M3 Metals Corp.,USA,1.5 Moderate,Reserves Development,Active,Lithium,Lithium,,,,,Project,"41.683530,-114.566960",Exact,https://eplanning.blm.gov/eplanning-ui/project/2035156/590,,,,,41.68353,-114.56696,Elko County,Nevada,NV,32007,0.6185,4.3,High,32007,490722.403,Relatively Moderate (292K - 2.74M),737206.9845,Relatively Moderate,90.99586382,2.029566,90.55,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Moderate (1.85x - 2.8x),2.384389661,91.76,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Moderate (1.85x - 2.8x),2.429248121,89.41,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Moderate (1.85x - 2.8x),4.295039216,87.05,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively High (2.8x - 4.58x)
Macarthur Minerals Limited,3103693,Public,Australia,No,Macarthur Minerals Limited,Reynolds Springs,"Lida Valley, Stonewall",77818,,100.0,100.0,Macarthur Minerals Ltd,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"38.849270,-115.260770",Approximate,,,,,,38.84927,-115.26077,White Pine County,Nevada,NV,32033,0.2498,3.1,Low,32033,884192.5836,Relatively Moderate (292K - 2.74M),943191.4646,Relatively Moderate,93.41393573,1.807671889,92.11,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Low (1.32x - 1.85x),2.570315584,94.59,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively Moderate (1.85x - 2.8x),2.870818132,93.38,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively High (2.8x - 4.58x),4.583913791,89.95,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x)
Mantle Minerals Limited,8180393,Public,Australia,No,Mantle Minerals Limited,Columbus Marsh,,79206,,100.0,100.0,Mantle Minerals Ltd.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"38.095000,-117.983300",Exact,,,,,,38.095,-117.9833,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Marquee Resources Limited,413688601,Public,Australia,No,Marquee Resources Limited,Kibby Basin,"A Block, Kibbi Flat, Kibby, Kibby Basis Playa, Kibby Playa",77480,,80.0,80.0,Marquee Resources Ltd.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Brine,"38.335160,-117.773520",Exact,,,,,,38.33516,-117.77352,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Marquee Resources Limited,413688601,Public,Australia,No,Marquee Resources Limited,Clayton Valley,"111 Claims, NMC 1125134, NMC 1125244",77517,,100.0,100.0,Marquee Resources Ltd.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Brine,"37.677830,-117.578740",Exact,,,,,,37.67783,-117.57874,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Morella Corporation Limited,7652812,Public,Australia,No,Morella Corporation Limited,Fish Lake Valley,"Fish Lake, Fish South, FLV, Gap-Lode, North Bowl Playa, North Playa, Playa, Rhyolite Ridge, South Bowl Playa",37797,,60.0,60.0,Morella Corp.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Brine,"37.913750,-117.926120",Exact,,,,,,37.91375,-117.92612,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Morella Corporation Limited,7652812,Public,Australia,No,Morella Corporation Limited,North Big Smoky,"Austin, Big North Smoky, Carvers, Cavers, NBS, NBS Carvers, North Big Smokey, North Big Smoky Carvers",90623,,100.0,100.0,Morella Corp.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Project,"39.083100,-117.068170",Exact,,,,,,39.0831,-117.06817,Nye County,Nevada,NV,32023,0.7954,1.0,Very High,32023,4149.252472,Very Low (<21.9K),3898.984843,Very Low,30.48043271,2.207770352,33.28,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.045589737,35.22,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.332210658,35.13,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),5.455757612,31.15,Very Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
NEO Battery Materials Ltd.,26689643,Public,Canada,No,NEO Battery Materials Ltd.,Kibby Basin,"A Block, Kibbi Flat, Kibby, Kibby Basis Playa, Kibby Playa",77480,,,0.0,Marquee Resources Ltd.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Brine,"38.335160,-117.773520",Exact,,,,,,38.33516,-117.77352,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Nevada Lithium Resources Inc.,715298011,Public,Canada,No,Nevada Lithium Resources Inc.,Bonnie Claire,"BC1602, BC1603, BC1801",77631,,100.0,100.0,Nevada Lithium Resources Inc.,USA,1.5 Moderate,Prefeas/Scoping,Active,Lithium,Lithium,8358700.0,tonnes,135477.8,08/20/2021,Brine,"37.217030, -117.034900",Exact,,2028.0,2029.0,2068.0,,37.21703,-117.0349,Nye County,Nevada,NV,32023,0.7954,1.0,Very High,32023,4149.252472,Very Low (<21.9K),3898.984843,Very Low,30.48043271,2.207770352,33.28,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.045589737,35.22,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.332210658,35.13,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),5.455757612,31.15,Very Low,Relatively Low (21.9K - 292K),Very High (>4.58x)
Nevada Sunrise Metals Corporation,43918723,Public,Canada,No,Nevada Sunrise Metals Corporation,Gemini,"Gemini East, Gemini West, Lida Valley",77055,,100.0,100.0,Nevada Sunrise Metals Corp.,USA,1.5 Moderate,Reserves Development,Active,Lithium,Lithium,2868400.0,tonnes,46491.0,1/15/24,Brine,"37.436190,-117.412570",Exact,,,,,,37.43619,-117.41257,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Nevada Sunrise Metals Corporation,43918723,Public,Canada,No,Nevada Sunrise Metals Corporation,Neptune,"Clayton Deep, Clayton Valley",60628,,100.0,100.0,Nevada Sunrise Metals Corp.,USA,1.5 Moderate,Target Outline,Active,Lithium,Lithium,,,,,Brine,"37.640430,-117.716790",Exact,,,,,,37.64043,-117.71679,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Nevada Sunrise Metals Corporation,43918723,Public,Canada,No,Nevada Sunrise Metals Corporation,Jackson Wash,,64228,,100.0,100.0,Nevada Sunrise Metals Corp.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Brine,"37.583330,-117.333300",Exact,,,,,,37.58333,-117.3333,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Nevada Sunrise Metals Corporation,43918723,Public,Canada,No,Nevada Sunrise Metals Corporation,Aquarius,Clayton Valley,77441,,100.0,100.0,Nevada Sunrise Metals Corp.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Brine,"37.719280,-117.678940",Approximate,,,,,,37.71928,-117.67894,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Nevada Sunrise Metals Corporation,43918723,Public,Canada,No,Nevada Sunrise Metals Corporation,Atlantis,,77442,,100.0,100.0,Nevada Sunrise Metals Corp.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Brine,"37.808330,-118.041670",Approximate,,,,,,37.80833,-118.04167,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Noram Lithium Corp.,131238347,Public,Canada,No,Noram Lithium Corp.,Clayton Valley,"Clayton, Clayton Valley North, Hades, North Block, South Block, South Block Extention, Spartan, Zeus, Zeus Extension, Zeus XT",77553,,100.0,100.0,Noram Lithium Corp.,USA,1.5 Moderate,Prefeas/Scoping,Active,Lithium,Lithium,1762248.0,tonnes,28562.5,5/15/24,"Brine, Open Pit","37.774850,-117.509340",Exact,,2024.0,2025.0,,,37.77485,-117.50934,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
Pacific Imperial Mines Inc.,3175110,Public,Canada,No,Pacific Imperial Mines Inc.,Eagle Mountain,,77625,,100.0,100.0,Pacific Imperial Mines Inc.,USA,1.5 Moderate,Exploration,Active,Lithium,Lithium,,,,,Project,"36.240710,-116.366570",Exact,,,,,,36.24071,-116.36657,Inyo County,California,CA,6027,0.6147,8.0,High,6027,1304.662793,Very Low (<21.9K),1435.817189,Very Low,23.16258352,2.763080552,27.68,Very Low,Very Low (<21.9K),Relatively Moderate (1.85x - 2.8x),3.351465343,27.52,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),3.508990518,27.78,Very Low,Very Low (<21.9K),Relatively High (2.8x - 4.58x),6.128719355,24.88,Very Low,Very Low (<21.9K),Very High (>4.58x)
Patriot Resources Limited,1805653238,Public,Australia,No,Patriot Lithium Limited,Wickenburg,"Cholla, Dove, Dove East, Dove West, Mammoth, Vulture",90882,,100.0,100.0,Patriot Lithium Ltd.,USA,1.5 Moderate,Target Outline,Active,"Lithium, Caesium, Tantalum",Lithium,,,,,Project,"33.878240, -112.720990",Exact,,,,,,33.87824,-112.72099,Maricopa County,Arizona,AZ,4013,0.713,1.4,High,4013,338994.5439,Relatively Moderate (292K - 2.74M),453694.9443,Relatively Moderate,85.84155266,3.661187711,91.82,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively High (2.8x - 4.58x),4.415951289,92.94,Relatively Moderate,Relatively Moderate (292K - 2.74M),Relatively High (2.8x - 4.58x),5.037650134,91.95,Relatively Moderate,Relatively Moderate (292K - 2.74M),Very High (>4.58x),6.796628021,86.73,Relatively Moderate,Relatively Moderate (292K - 2.74M),Very High (>4.58x)
Elevra Lithium Limited,11235445,Public,Australia,No,Elevra Lithium Limited,Piedmont,"B Corridor, Carolina, Central, Core, Corridor Extensions, F Corridor, G Corridor, G-1, Huffstetler, Kings Mountain, S corridor, Star Corridor, Sunnyside",78645,,100.0,100.0,Elevra Lithium Limited,USA,1.5 Moderate,Feasibility Complete,Active,"Lithium, Spodumene",Lithium,475000.0,tonnes,7698.8,12/14/21,Open Pit,"35.394460,-81.284750",Exact,,2024.0,2027.0,2051.0,,35.39446,-81.28475,Gaston County,North Carolina,NC,37071,0.65,0.2,High,37071,2388.895996,Very Low (<21.9K),2584.823748,Very Low,26.82150811,1.022172303,24.79,Very Low,Very Low (<21.9K),Very Low (<1.32x),1.299390319,25.26,Very Low,Very Low (<21.9K),Very Low (<1.32x),1.193463167,24.53,Very Low,Very Low (<21.9K),Very Low (<1.32x),4.986603692,27.43,Very Low,Very Low (<21.9K),Very High (>4.58x)
Pure Energy Minerals Limited,3171239,Public,Canada,No,Pure Energy Minerals Limited,Clayton Valley,"CA claims, CD, CE, Clayton Valley North, Clayton Valley South, CV, CV/DB, CV/DB Claim Group, CV-1, CV-2, CV-3, CV-4, CV-5, CV-6, CV-7, CV-8, CV-9, CVL, CVN, CVS, DB, Neptune, SPD-8, SPD-9",37627,3.0,,0.0,Schlumberger Ltd.,USA,1.5 Moderate,Prefeas/Scoping,Active,"Lithium, Potash, Magnesium, Calcium Carbonate",Lithium,88000.0,tonnes,1426.3,6/15/17,Brine,"37.722290,-117.581330",Exact,,2025.0,2026.0,2045.0,,37.72229,-117.58133,Esmeralda County,Nevada,NV,32009,0.9077,1.3,Very High,32009,1820958.827,Relatively Moderate (292K - 2.74M),3281604.068,Relatively Moderate,98.28189628,2.367358652,98.31,Relatively High,Relatively High (2.74M - 25.1M),Relatively Moderate (1.85x - 2.8x),3.176403284,98.41,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),3.196199595,98.28,Relatively High,Relatively High (2.74M - 25.1M),Relatively High (2.8x - 4.58x),5.751887247,98.15,Relatively High,Relatively High (2.74M - 25.1M),Very High (>4.58x)
